movieId,movieLink,movieName,movieImage,movieEpisodeTotal,movieEpisodeCurrent
99,https://phimmoichilla.net/info/cuoc-chien-chong-xam-lang-pm99,Cuộc Chiến Chống Xâm Lăng,https://i0.wp.com/img.phimmoichilla.net/images/film/dc5qfe4xcaephyx-201807841.jpg,1,HD VietSub - Thuyết Minh
100,https://phimmoichilla.net/info/tinh-yeu-tuoi-moi-lon-pm100,Tình Yêu Tuổi Mới Lớn,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bnguznmy4mjatodqyni00mgrilwfmzjgtnjbiyzu2mmm1ogvkxkeyxkfqcgdeqxvynzc1odkymdq-201810357.v1sy1000cr006521000al,1,HD Thuyết Minh
101,https://phimmoichilla.net/info/the-gioi-dong-vat-pm101,Thế Giới Động Vật,https://i0.wp.com/img.phimmoichilla.net/images/film/0-201809344.jpg,1,HD VietSub
102,https://phimmoichilla.net/info/sat-nhan-huyen-thoai-pm102,Sát Nhân Huyền Thoại,https://i0.wp.com/img.phimmoichilla.net/images/film/zodiac-201810991.jpg,1,HD VietSub
103,https://phimmoichilla.net/info/con-mat-am-duong-pm103,Con Mắt Âm Dương,https://i0.wp.com/img.phimmoichilla.net/images/film/aaaaaaaaaaaaaaaaaaaa-201809874.jpg,1,HD VietSub
104,https://phimmoichilla.net/info/dua-tre-bi-nguyen-pm104,Đứa Trẻ Bị Nguyền,https://i0.wp.com/img.phimmoichilla.net/images/film/the-hollow-child-2018-201806449.jpg,1,HD VietSub
105,https://phimmoichilla.net/info/nguoi-me-khac-pm105,Người Mẹ Khác,https://i0.wp.com/img.phimmoichilla.net/images/film/mothers-201809908.jpg,1,HD VietSub
106,https://phimmoichilla.net/info/chang-trai-mut-cam-pm106,Chàng Trai Mứt Cam,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmdi0ndllowytmjewmi00otqzlthhnzytotgyyzixmtdmogi1xkeyxkfqcgdeqxvyndqxnjcxnq-201809282.v1,1,HD VietSub
107,https://phimmoichilla.net/info/giu-bong-toi-pm107,Giữ Bóng Tối,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmtu3njmxntywov5bml5banbnxkftztgwmzm5nzaznjm-201809968.v1,1,HD VietSub
108,https://phimmoichilla.net/info/khach-san-huyen-bi-3-ky-nghi-ma-ca-rong-pm108,Khách Sạn Huyền Bí 3: Kỳ Nghỉ Ma Cà Rồng,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201807388.jpg,1,HD VietSub + Thuyết Minh
109,https://phimmoichilla.net/info/bach-vuong-pm109,Bạch Vương,https://i0.wp.com/img.phimmoichilla.net/images/film/whiteking-201809618.jpg,1,HD VietSub
110,https://phimmoichilla.net/info/con-mat-thu-ba-pm110,Con Mắt Thứ Ba,https://i0.wp.com/img.phimmoichilla.net/images/film/1-201809459.jpg,1,HD VietSub + Thuyết Minh
111,https://phimmoichilla.net/info/chua-lanh-noi-dau-pm111,Chữa Lành Nỗi Đau,https://i0.wp.com/img.phimmoichilla.net/images/film/the-healer-201809169.jpg,1,HD VietSub
112,https://phimmoichilla.net/info/toa-thap-choc-troi-pm112,Toà Tháp Chọc Trời,https://i0.wp.com/img.phimmoichilla.net/images/film/poster-201808401.jpg,1,HD VietSub + Thuyết Minh
113,https://phimmoichilla.net/info/the-gioi-ky-ao-pm113,Thế Giới Kỳ Ảo,https://i0.wp.com/img.phimmoichilla.net/images/film/thegioidongvat-201809443.jpg,1,HD VietSub
114,https://phimmoichilla.net/info/quy-ba-doa-hoa-pm114,Quý Bà Đóa Hoa,https://i0.wp.com/img.phimmoichilla.net/images/film/nuts-2018-201809861.jpg,1,HD VietSub
115,https://phimmoichilla.net/info/lop-8-pm115,Lớp 8,https://i0.wp.com/img.phimmoichilla.net/images/film/fff-201809146.jpg,1,HD VietSub
116,https://phimmoichilla.net/info/chi-co-the-hinh-dung-pm116,Chỉ Có Thể Hình Dung,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201809521.jpg,1,HD VietSub
117,https://phimmoichilla.net/info/diep-vien-thien-than-pm117,Điệp Viên Thiên Thần,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmtezoty5oda2mdreqtjeqwpwz15bbwu4mdi5ndkymtyz-201809995.v1sy1000cr006821000al,1,HD VietSub
118,https://phimmoichilla.net/info/buoc-chan-dau-tien-pm118,Bước Chân Đầu Tiên,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810317.jpg,1,HD Trailer
119,https://phimmoichilla.net/info/ho-boi-tu-than-pm119,Hồ Bơi Tử Thần,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810451.jpg,1,HD Trailer
120,https://phimmoichilla.net/info/sieu-xe-dai-chien-pm120,Siêu Xe Đại Chiến,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810751.jpg,1,HD Trailer
121,https://phimmoichilla.net/info/loi-thinh-cau-bi-an-pm121,Lời Thỉnh Cầu Bí Ẩn,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810584.jpg,1,HD Trailer
